RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
,"   16 seed, R64",,,8–4,246,177,206,226,54,102,76,174,226,42,324,321,88,30,62,201,153
207,Evansville,MVC,25,16-Sep,105.5,110.2,0.3757,53.2,57.4,17.2,18.3,19.1,24.1,25.4,34.3,50,55.7,37.7,41,62,-10.3
,,,,7–11,109,311,207,48,342,83,201,340,34,315,244,154,328,16,347,345,275
208,Wagner,NEC,20,13-7,101.1,106,0.3688,49.1,50.3,18.1,20.9,34.8,28.1,28,44.3,49.7,49.3,31.8,34.5,65.1,-5.1
,,,,13–5,190,252,208,209,182,125,59,17,179,263,338,169,146,260,219,305,154
209,Albany,AE,16,9-Jul,98.7,103.6,0.3642,50.5,51.3,18,20.9,22.3,27.3,34.1,29.3,50.5,51.1,33.7,34.5,69.2,-7.4
,,,,6–6,237,205,209,138,223,120,59,315,147,99,119,131,228,169,219,116,211
210,Illinois St.,MVC,24,18-Jul,98.2,103.3,0.358,50.4,51.6,19.3,16.7,23.7,26.3,23.7,26.7,50,54.7,34,31.5,69,-12
,,,,4–14,245,198,210,148,237,185,295,283,105,332,55,154,318,153,56,126,301
211,UMKC,Sum,20,13-Nov,96.3,101.3,0.3576,51.2,52.3,19.6,22.5,21.6,24.6,30.5,55.3,50.4,50.9,35.1,36.5,62.5,-9
,,,,7–7,274,155,211,105,264,204,20,323,51,197,347,135,221,103,298,344,258
212,Northern Kentucky,Horz,25,14-11,102.9,108.3,0.3573,50.6,51.7,18.6,18.9,34.9,32.7,27.8,32.5,53.7,50.8,30.7,35.5,64.9,-7.8
,,,,11–7,148,291,212,132,241,156,154,16,324,272,196,41,215,300,262,308,225
213,George Washington,A10,17,12-May,100.8,106.1,0.3568,49.8,51,19.7,16.7,24.5,28.5,36.1,25,50.4,50.8,32.4,34.2,68.3,-8.8
,,,,3–5,197,254,213,180,210,211,295,259,194,63,33,135,215,231,195,157,254
214,South Alabama,SB,24,17-11,102.4,107.8,0.3566,50.8,49.7,17.7,19.3,26.4,33,31,24.6,49.4,49.1,35.1,33.5,66.5,-8.2
,,,,10–7,164,284,214,123,153,107,133,211,328,182,28,181,137,103,147,253,238
215,Texas Southern,SWAC,25,17-9,98.1,103.4,0.3536,47.7,46.8,20.8,19.3,32.4,26.4,38.5,34.3,50,45.7,27.7,32.3,71.1,-4.4
,"   16 seed, R64",,,10–3,250,200,215,273,37,269,133,44,110,24,244,154,29,342,87,50,141
216,UC Davis,BW,17,8-Oct,97,102.4,0.351,48.2,53,20.4,23.4,26.9,27.6,36.4,40.6,48.3,52.6,31.9,35.8,69.3,-5.7
,,,,7–5,265,179,216,253,289,250,11,192,156,56,324,231,270,256,273,112,164
217,Saint Peter's,MAAC,25,14-11,90.6,95.6,0.3481,45.6,44.9,21.8,22.5,30.4,27.7,32.7,39.5,44.1,41.6,32.3,33.6,67,-8.1
,,,,10–8,337,55,217,317,7,312,20,93,158,143,317,327,1,238,153,230,234
218,Morgan St.,MEAC,19,14-8,99.9,105.7,0.3442,48.7,48,20.7,22.1,34.5,29.5,37.5,42.9,48.2,50.2,32.9,29.9,71.4,-6.3
,,,,7–5,213,245,218,226,73,262,29,20,233,37,335,237,183,210,15,43,182
219,Montana St.,BSky,21,13-10,99.4,105.2,0.3419,49.7,49.7,17.8,18.8,24.3,26.7,40.3,37.2,50.5,48.5,32,34.4,68,-6.7
,,,,8–6,223,237,219,185,153,113,160,262,127,14,295,131,122,254,212,178,191
220,Arkansas St.,SB,21,13-Nov,99.6,105.5,0.3403,48,49.6,19.4,17.5,30.8,28,34.6,27.9,44.8,47.9,37.4,35.2,67.6,-10.1
,,,,7–8,217,242,220,258,145,191,254,80,173,83,85,318,104,25,246,202,272
221,Mount St. Mary's,NEC,23,11-Dec,95.3,101,0.3393,48.6,45.4,20.1,16,31.3,24.9,29.8,25,47.7,45.2,33.4,30.6,61.7,-7.2
,"   16 seed, R68",,,9–7,287,145,221,234,10,234,317,68,58,216,33,254,23,178,28,346,207
222,Long Beach St.,BW,18,12-Jun,97.9,103.8,0.3374,50.6,49.4,21,17.8,23.3,31.3,37.7,34.9,49,48.2,35.9,34.2,73.7,-9.1
,,,,4–8,254,209,222,132,138,280,238,293,285,33,257,198,112,71,195,7,261
223,Oakland,Horz,30,18-Dec,102.4,108.6,0.3372,48.7,55.4,17.8,18.7,30,33.6,33.2,21.3,47.7,55,33.3,37.3,70,-11.5
,,,,10–10,162,294,223,226,334,113,166,103,336,124,3,254,321,181,319,91,295
224,Monmouth,MAAC,20,8-Dec,98.7,104.7,0.3369,48.5,48.6,17.7,20.9,25.7,28.5,38.2,38.4,45.4,48.2,36.3,32.9,74.1,-6
,,,,12–6,235,230,224,242,103,107,59,237,194,26,308,313,112,58,117,5,175
225,College of Charleston,CAA,17,10-Sep,102.5,108.8,0.3361,51.6,52,16.3,17.7,24.2,26,27.1,33.5,47.8,50.1,38.2,36.6,63.7,-7.4
,,,,6–4,159,297,225,92,253,44,245,269,94,281,216,250,178,11,302,331,210
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
226,Nicholls St.,Slnd,24,18-7,98.6,104.6,0.3358,51,49.2,17.7,20.7,28.9,28.3,27.8,34.4,53,47.6,31.8,34.8,71.4,-3.9
,,,,14–2,239,226,226,119,130,107,69,135,186,272,247,52,94,260,231,47,132
227,Longwood,BSth,28,17-Dec,98.5,104.6,0.3349,49.9,51.8,19.8,20.4,27.7,27.3,31.6,33.5,48.7,56.1,34.6,31,65,-12.4
,,,,10–10,240,223,227,174,245,218,80,174,147,165,216,214,336,127,42,307,308
228,Milwaukee,Horz,22,12-Oct,101.9,108.1,0.3346,49.5,52.6,15.3,18.6,24.3,26.8,33.2,35,49.7,49.9,32.9,37.9,69.4,-8.8
,,,,7–10,175,287,228,190,276,12,174,262,133,124,258,169,171,210,323,108,252
229,Northern Colorado,BSky,19,11-Nov,99,105.1,0.3344,51.3,49.2,20.4,15.9,24.6,24.3,32.3,34.8,47.4,49.8,37.6,31.3,67.8,-7.8
,,,,6–8,229,236,229,100,130,250,321,255,39,155,255,259,166,21,50,188,226
230,Appalachian St.,SB,25,17-12,97.6,103.6,0.3343,46.9,50,17.7,19.8,28.2,30.2,32.7,23.7,46.4,49.6,31.7,33.7,65.2,-7.6
,"   16 seed, R68",,,7–8,259,207,230,293,169,107,106,157,259,143,19,289,159,267,163,302,222
231,Boston University,Pat,18,11-Jul,101.7,108.2,0.3308,49.7,53.6,18.3,15.2,29,26.1,28.6,29.8,50.8,53.4,31.9,36,65.2,-7.9
,,,,6–10,177,288,231,185,308,137,332,132,99,246,135,121,289,256,281,301,228
232,Stetson,ASun,24,15-Dec,100.9,107.3,0.3293,50.4,52.4,19.6,17.4,28.1,26.8,28.1,30.4,48,52.6,35.8,34.7,67.4,-10.8
,,,,7–9,194,277,232,148,267,204,260,162,133,259,149,242,270,72,228,207,282
233,Lipscomb,ASun,23,15-12,100.3,106.7,0.3292,51.2,51.5,17.4,18.4,23.2,28.4,36.5,22.7,51.2,53.4,34.1,32.8,66.2,-8.8
,,,,9–6,206,268,233,105,231,97,191,295,191,53,10,107,289,147,114,260,253
234,Youngstown St.,Horz,23,15-12,101.9,108.4,0.3283,48.7,54.3,16.8,18.7,33.1,29,31.6,26.3,50.1,54.1,30.9,36.4,67.2,-9.3
,,,,9–11,174,292,234,226,319,66,166,33,213,165,48,149,305,294,294,215,263
235,The Citadel,SC,21,13-12,102.9,109.5,0.3277,51.8,52.8,16.1,13.9,22.5,25.7,33.5,25.9,53.8,55.8,32.8,31.6,73.8,-8.3
,,,,5–11,150,306,235,85,284,36,343,313,86,119,45,39,331,218,58,6,241
236,Prairie View A&M,SWAC,21,16-5,95.3,101.5,0.3247,50.3,47.3,19.4,25.7,30.9,31.4,26.9,46.3,53,47.1,30.4,31.8,68.7,-3
,,,,13–0,288,158,236,157,47,191,2,77,289,287,343,52,79,305,66,139,103
237,Stony Brook,AE,22,14-Sep,94.6,101,0.3197,46,48.3,20.1,18.8,30.3,27.1,33,29.6,47.3,46.6,29.2,33.9,66.6,-11.2
,,,,7–9,296,146,237,310,87,234,160,95,142,134,132,261,55,329,177,246,289
238,Radford,BSth,25,15-12,97.7,104.4,0.3181,50.5,49.9,23.2,18,33.4,24.5,40.2,25,52.9,46,30.9,37.2,63.6,-8.7
,,,,12–6,258,219,238,138,164,335,217,31,48,15,33,56,38,294,318,333,249
239,Western Carolina,SC,25,16-Nov,100,107.1,0.3134,51.8,54.1,19.5,15.9,22.6,24.5,32.2,28.5,53.2,54.6,33.2,35.6,70.4,-11.5
,,,,4–13,211,272,239,85,315,197,321,310,48,156,100,48,315,190,266,77,296
240,Green Bay,Horz,25,17-Aug,102,109.4,0.3101,49.2,53.5,15.5,16.9,26,29.4,27.3,31.9,48.8,53.2,33.3,36.2,66.2,-12.5
,,,,8–12,170,302,240,204,304,15,282,230,229,278,182,208,283,181,286,261,311
241,Samford,SC,17,13-Jun,96.8,103.9,0.3068,47.9,52.8,21.3,18.4,28.8,25.5,27.1,37.9,51.3,53.1,28.3,35,72.9,-9.7
,,,,2–9,270,211,241,264,284,293,191,138,78,281,300,102,281,340,240,16,269
242,Niagara,MAAC,20,11-Sep,99.3,106.6,0.3058,46.6,49.5,15.2,20.1,23.3,28.4,34.6,32.5,46.4,48.5,31.3,33.9,64.8,-8.7
,,,,7–9,225,267,242,301,141,11,89,293,191,83,196,289,122,283,177,313,247
243,Portland St.,BSky,18,13-Sep,93.1,100,0.3049,44.4,50.8,20,22.7,30.5,23.6,34.6,46.7,44.8,49.1,29.2,36.1,69.1,-10.5
,,,,6–8,307,126,243,335,199,227,14,87,25,83,344,318,137,329,284,125,280
244,Lafayette,Pat,15,6-Sep,103.5,111.2,0.304,50.6,50.9,15,16,23.7,28.5,30.3,33.7,48.4,51.4,36,33.2,68.6,-4.8
,,,,9–5,136,319,244,132,204,7,317,283,194,202,226,229,243,64,135,146,150
245,Marist,MAAC,21,9-Dec,93.1,100,0.3038,49.1,45.7,21.4,18,23,25.4,31.5,32.2,50.8,45.3,31,30.9,66.1,-7.4
,,,,10–8,310,127,245,209,15,294,217,300,75,171,187,121,25,293,37,269,208
246,UMass Lowell,AE,23,12-Nov,98.7,106.2,0.3015,51.2,48.4,21,16.3,27,26.6,37.2,39.5,50.8,48.9,34.6,31.6,69.2,-8.5
,,,,7–8,234,259,246,105,92,280,304,188,122,38,317,121,132,127,58,120,245
247,UC San Diego,BW,14,10-Jul,101.7,109.5,0.2996,55,54.5,19.6,18.4,16.7,31.7,20.8,22.4,54.6,53.3,37,38,69,-6.7
,,,,4–8,178,305,247,18,323,204,191,344,299,346,7,25,285,40,326,129,190
248,UNC Asheville,BSth,20,10-Oct,99.5,107.4,0.2917,54.6,49.7,21.2,19.7,26.8,33.2,30.2,32.3,55.2,50.2,35.8,32.4,68.7,-7.4
,,,,9–5,221,279,248,28,153,287,112,196,330,204,191,17,183,72,90,142,209
249,UT Arlington,SB,23,13-13,98.4,106.3,0.2917,46.1,50,16.1,19.6,26.9,32.3,26.2,29.4,41.7,47.5,35.3,36.7,69.3,-9.5
,,,,9–8,243,261,249,307,169,36,121,192,317,298,125,345,88,93,308,110,267
250,Western Michigan,MAC,20,16-May,95.6,103.3,0.2909,49.3,50.2,21.1,14.3,23.5,29.4,24.2,26.2,49,51.5,33.2,32,66.1,-11.5
,,,,4–12,283,197,250,201,178,284,340,290,229,327,47,198,245,190,77,264,292
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
251,UNC Wilmington,CAA,16,10-Jul,101.8,110,0.2902,48.6,51.6,16.1,18.9,26.5,31.5,37.1,31.7,47.2,53.9,34,30.9,69.6,-8
,,,,1–6,176,309,251,234,237,36,154,207,292,42,178,268,301,153,37,102,232
252,Charlotte,CUSA,24,16-Sep,96.1,103.9,0.2886,49.2,50.9,20.1,18.4,21.6,24.7,37.2,23.4,49.3,52.9,32.7,31.8,62.7,-11.5
,,,,5–11,276,214,252,204,204,234,191,323,52,38,15,185,278,220,66,342,294
253,Georgia Southern,SB,22,13-13,95.2,103.1,0.2868,48,51,21.4,22.1,30.4,31,29.1,31.4,49.1,48.9,30.9,36.2,66.6,-10.5
,,,,7–9,289,193,253,258,210,294,29,93,281,237,170,192,132,294,286,245,281
254,Holy Cross,Pat,16,11-May,100,108.2,0.2865,50.3,52.6,18.3,18.5,26.4,31.5,26.1,35.2,48.8,52.1,35.6,35.7,68.7,-8.4
,,,,5–11,212,290,254,157,276,137,184,211,292,301,263,208,260,79,269,141,244
255,American,Pat,10,6-Apr,97.8,105.8,0.2864,52.6,50.2,22.3,17.6,24.1,29.9,26.8,38.4,49.5,52.9,37.8,29.1,66.8,-4.5
,,,,4–5,257,251,255,62,178,319,249,271,248,292,308,177,278,15,9,238,144
256,Quinnipiac,MAAC,22,13-Sep,92.4,100,0.2857,46.9,44.2,19.4,17.2,21.2,27.8,35.4,32.7,45.7,43.7,32.4,30.1,71.5,-11.1
,,,,7–10,320,128,256,293,4,191,267,326,165,72,201,303,8,231,18,39,286
257,Cal St. Fullerton,BW,15,10-Jun,103.1,111.7,0.2857,51.2,54.9,17.6,18.6,24.9,29.1,35.6,27.8,48.1,52.5,38,39.7,71.5,-7.6
,,,,5–9,142,326,257,105,331,102,174,246,219,68,81,238,268,14,345,41,220
258,Sacramento St.,BSky,18,12-Aug,102.4,111.2,0.2807,50.6,55.6,14.9,18.8,24.5,28,31.5,32,48,56,37.7,36.6,64.7,-8.9
,,,,5–9,160,318,258,132,338,6,160,259,173,171,185,242,334,16,302,314,255
259,Canisius,MAAC,13,6-Jul,98.7,107.1,0.2798,47,50.5,16.8,20.2,26.6,26.8,31.6,31.6,48.8,50.3,29.7,34.1,70.5,-4.8
,,,,7–5,238,273,259,291,190,66,84,202,133,165,174,208,188,322,187,72,149
260,LIU Brooklyn,NEC,18,9-Sep,95.2,103.5,0.2766,47.3,49.9,19.3,20.9,32.9,28.5,31.2,28.4,50.1,50.9,28.7,32,73.2,-7.6
,,,,9–9,290,202,260,282,164,185,59,34,194,178,96,149,221,337,77,12,218
261,Bucknell,Pat,12,7-May,100.3,109.2,0.2721,52,49.6,17.3,15.7,19.8,28.3,36.3,29.2,53.6,47.5,33,36,71.6,-5.6
,,,,4–6,207,301,261,82,145,90,325,336,186,57,117,42,88,205,281,37,163
262,Jackson St.,SWAC,18,6-Dec,88.3,96.2,0.2707,44.6,43.8,21.6,22,29.1,26.6,42.1,41.2,41.9,43.1,34,30.3,68.6,-3.6
,,,,11–0,340,64,262,333,1,303,34,127,122,5,329,343,5,153,21,150,119
263,Little Rock,SB,25,15-Nov,97,105.7,0.2706,50.4,50.7,22.4,20.1,31.1,28,37.7,27.8,52.2,49.7,31.3,34.9,67,-11.8
,,,,7–11,268,246,263,148,195,324,89,72,173,33,81,74,161,283,234,228,299
264,Idaho St.,BSky,19,13-11,92.6,101.1,0.2669,47.2,48,23.5,18.1,30.8,26.3,38.7,35.6,48.3,45.1,30.2,36.5,64.4,-8.2
,,,,8–6,316,148,264,285,73,337,210,80,105,22,273,231,20,310,298,323,237
265,Coppin St.,MEAC,22,13-Sep,92,100.9,0.2575,48.6,47.9,20,20.4,18.5,32.5,43.8,27,51.6,49.1,30.3,30.8,76.9,-9.2
,,,,8–4,326,144,265,234,66,227,80,341,320,2,61,95,137,308,36,1,262
266,IUPUI,Horz,18,10-Aug,96.7,106.1,0.2557,49,52.7,19.1,19,25.4,25.3,30.5,35.1,47.3,56.5,34.4,30.5,71.6,-7.9
,,,,7–9,271,256,266,211,282,179,146,242,72,197,259,261,339,137,24,35,230
267,Merrimack,NEC,18,9-Sep,92.9,102,0.2553,51.4,48,19.9,21.8,20.8,31.6,31,33,54.1,46.1,31.7,34.4,66,-7.6
,,,,9–9,311,168,267,96,73,223,40,329,295,182,208,31,40,267,212,277,221
268,Eastern Michigan,MAC,15,12-Jun,99.2,109,0.2521,46.7,58.7,17.1,19.1,24.2,31.6,26.9,28.2,47.2,58.5,30.6,39.2,67.9,-8.3
,,,,3–11,226,300,268,297,345,78,145,269,295,287,92,268,343,301,341,185,239
269,Fairleigh Dickinson,NEC,24,15-Sep,101.4,111.5,0.2519,51.8,53,19.5,19.3,28.8,33.2,31.1,33.9,49.3,54.8,37.5,33.5,70.8,-12.1
,,,,8–10,182,323,269,85,289,197,133,138,330,180,236,185,319,23,147,63,303
270,New Mexico,MWC,20,16-Jun,93.6,103.1,0.2472,43.9,53.1,21.6,19.7,32,29.7,32.9,35.7,45.5,53.6,26.8,34.9,67.4,-11.2
,,,,2–15,302,195,270,340,296,303,112,54,243,138,275,309,294,344,234,208,288
271,Fort Wayne,Horz,23,15-Aug,100.6,110.9,0.2462,58.2,52.5,23.7,17,26.2,30.8,30.2,30.4,57,53.9,40,33.6,69.4,-12.6
,,,,6–14,201,315,271,2,272,340,279,220,276,204,149,7,301,4,153,107,313
272,Southern Miss,CUSA,23,17-Aug,92.2,101.6,0.2459,47.3,50.3,20.7,18.8,23.8,23.5,28.7,29.5,47.3,50.1,31.5,33.7,67.1,-12.8
,,,,4–13,323,159,272,282,182,262,160,278,23,244,130,261,178,273,163,223,315
273,Southeast Missouri St.,OVC,27,16-Nov,95.5,105.4,0.2434,49.9,51.9,21.7,19.7,27.6,23.6,40.5,38.9,48,50.6,35.2,36.2,68.4,-12.9
,,,,9–11,285,239,273,174,248,308,112,178,25,12,313,242,208,99,286,156,316
274,High Point,BSth,24,15-Sep,96.4,106.5,0.2424,45.8,52.4,18.6,20.1,32,28.2,38.3,34.1,46.7,51.7,29,35.4,66.1,-11.9
,,,,6–11,272,263,274,313,267,156,89,54,183,25,243,280,251,332,259,266,300
275,New Orleans,Slnd,24,15-Oct,97.4,107.7,0.2413,52.3,51.4,22.3,21.2,29.3,32,33.1,38.4,52.8,52.6,33.9,32.5,72.3,-12.5
,,,,8–7,261,281,275,73,229,319,54,118,310,129,308,60,270,158,98,24,310
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
276,North Dakota,Sum,26,17-Sep,97.8,108.2,0.2383,49.4,53.2,18.7,16.9,23.5,26.6,34.6,30.4,48.7,51.1,33.7,38.4,67.3,-12.5
,,,,8–8,256,289,276,194,299,163,282,290,122,83,149,214,228,169,333,211,309
277,Fairfield,MAAC,27,17-Oct,95.8,106.1,0.2368,45.4,49.1,19.6,16.3,28.1,26.6,34.1,30.7,44.4,49.3,31.5,32.6,64.5,-14.1
,,,,7–11,279,255,277,320,125,204,304,162,122,99,158,325,146,273,104,319,331
278,Cal St. Northridge,BW,21,13-Sep,100.5,111.4,0.2333,48.4,54.3,16.7,18.7,24.3,28.9,31.7,32.4,47.2,54.2,33.5,36.4,70.2,-9.5
,,,,5–9,204,321,278,246,319,61,166,262,210,163,192,268,309,174,294,83,266
279,Louisiana Monroe,SB,26,19-Jul,94,104.4,0.2306,48.2,50.4,19.1,21.3,22.9,32,25.1,34,46.5,47.9,34,36.5,67,-16
,,,,5–13,299,218,279,253,187,179,53,304,310,320,239,285,104,153,298,227,342
280,Middle Tennessee,CUSA,22,18-May,93.3,103.7,0.2285,45.4,53,21.7,19.8,24.9,26,24.9,28.8,43.1,55.5,32.5,32,69.2,-13.6
,,,,3–13,304,208,280,320,289,308,106,246,94,321,109,338,326,228,77,117,325
281,FIU,CUSA,22,17-Sep,97,108,0.2261,50.5,53.9,20.9,21.5,25.8,33.6,24,34.7,51.9,53.2,32.7,36.9,70.3,-13.6
,,,,2–15,267,286,281,138,311,273,49,233,336,329,253,83,283,220,314,80,326
282,New Hampshire,AE,18,9-Oct,96,106.8,0.2257,45.3,49.5,16.3,17.9,27.3,22,32.8,39.2,44,48.6,31.8,34.1,66.1,-7.6
,,,,9–6,278,270,282,325,141,44,224,184,7,140,316,328,127,260,187,267,219
283,Western Illinois,Sum,21,15-Jul,97.4,108.7,0.2206,45.8,54.4,17.3,16.1,27.9,23.1,36.5,38.8,44.6,51.8,31.8,39.5,71.5,-11.3
,,,,5–9,262,296,283,313,322,90,311,168,18,53,312,323,254,260,343,42,290
284,Manhattan,MAAC,20,13-Jul,92.5,103.4,0.2158,42.6,47.9,20.7,22.4,31.9,29.6,35.5,46.8,44.4,47.1,26.4,33,66.8,-11.1
,,,,6–12,319,201,284,345,66,262,22,58,237,70,345,325,79,346,124,235,285
285,Central Michigan,MAC,20,16-Jul,99.5,111.3,0.2153,48.7,54,17.9,18.2,26.6,32.2,36.2,27.5,48.8,53.6,32.2,36.4,72.1,-12.4
,,,,3–13,220,320,285,226,314,118,202,202,314,60,74,208,294,245,294,27,307
286,Rider,MAAC,23,17-Jun,100.1,112.1,0.2132,48.3,53.3,18.3,17.2,26.2,26.7,29,36,46.2,53.6,35.3,35.3,67.7,-14
,,,,5–13,210,330,286,249,302,137,267,220,127,239,281,292,294,93,253,193,330
287,North Alabama,ASun,20,13-11,95.3,106.8,0.2126,48.2,51.3,20.3,18.6,26.1,24.2,28.3,35.7,47.3,49.8,33,35.6,70,-8.4
,,,,7–8,286,269,287,253,223,244,174,226,37,255,275,261,166,205,266,90,242
288,William & Mary,CAA,17,10-Jul,94.7,106.2,0.2116,46.1,51,20.2,16.9,28.6,31.8,32,23.6,47.9,52.1,28.7,32.6,68,-7
,,,,4–6,295,258,288,307,210,240,282,147,304,158,18,246,260,337,104,180,201
289,St. Francis NY,NEC,19,10-Sep,101.1,113.7,0.2052,49.5,52.7,16.3,19.9,30.2,30.3,30.7,39.1,49.4,50.4,33.1,38.1,72.2,-8.7
,,,,9–9,191,340,289,190,282,44,100,98,261,191,315,181,197,199,327,25,251
290,UT Rio Grande Valley,WAC,15,10-Sep,90.6,102,0.2042,43,48.1,19,24.1,30,34.1,37.7,43.5,44.7,48.5,26.7,31.6,70.3,-7.7
,,,,2–5,336,169,290,344,83,175,6,103,340,33,337,321,122,345,58,81,223
291,Illinois Chicago,Horz,22,13-Sep,93.3,105,0.2039,49.7,48,18.9,14.2,23.7,27.6,22.8,33.8,50.2,49.1,32.7,30.1,68.3,-10.2
,,,,6–10,305,235,291,185,73,170,341,283,156,340,232,146,137,220,18,158,273
292,Troy,SB,25,17-Nov,92.8,104.5,0.2038,44.4,51.3,21.4,18,28.3,26.4,33.1,30.5,46,49.1,28.1,36.5,68.1,-13
,,,,4–12,312,222,292,335,223,294,217,153,110,129,153,296,137,341,298,169,318
293,Towson,CAA,18,14-Apr,99.1,111.6,0.2031,45.4,52.6,18.4,16,34.1,30.4,33.4,29.3,46.2,49.3,28.9,38.3,65.6,-10.8
,,,,3–9,227,324,293,320,276,145,317,27,263,120,119,292,146,333,331,284,283
294,North Florida,ASun,21,15-Aug,100.6,113.3,0.2026,52.7,50.3,21.5,16.2,25.8,35.9,25.4,31.8,51.2,50.1,36.2,33.9,67,-11.2
,,,,6–6,199,339,294,60,182,299,307,233,345,315,180,107,178,60,177,229,287
295,Lamar,Slnd,28,18-Oct,93.9,105.8,0.2014,46,52.3,20.1,20,26.4,28.7,30.8,27.4,45.7,49.1,31.2,38.7,68,-13.9
,,,,7–10,300,249,295,310,264,234,97,211,203,189,71,303,137,285,336,181,329
296,Robert Morris,Horz,18,15-Apr,98.7,111.4,0.199,50.5,54.6,19,18.7,29.5,33.5,26.1,34.6,48.3,52.4,36.5,38.9,66.8,-12.2
,,,,3–12,236,322,296,138,325,175,166,116,334,301,250,231,267,52,337,236,305
297,Sacred Heart,NEC,18,9-Sep,99.8,112.7,0.1982,48,50.7,18.7,15.3,29.6,31.8,33.6,27.6,47.1,51.3,32.9,32.9,66.3,-7
,,,,9–7,214,338,297,258,195,163,330,113,304,117,76,272,240,210,117,259,203
298,Florida Gulf Coast,ASun,16,8-Oct,92.6,104.6,0.197,47.7,48.7,20.3,18.8,28.6,29.6,24,26.7,51,49.5,28.9,31.5,70.7,-6.6
,,,,4–5,317,224,298,273,108,244,160,147,237,329,55,113,156,333,56,65,187
299,Binghamton,AE,18,14-Apr,97.6,110.5,0.1933,48.9,51.5,20.6,16.4,29.2,27.7,23.2,31.3,48.3,49.5,33.1,36.7,66,-12.1
,,,,4–10,260,313,299,217,231,259,300,122,158,337,167,231,156,199,308,273,304
300,North Carolina A&T,MEAC,19,10-Nov,93.1,105.4,0.1933,45.4,52,18.6,24,27.6,36.1,35.8,31.2,45.4,50.5,30.4,36.3,71.4,-7
,,,,7–1,309,240,300,320,253,156,7,178,346,65,164,313,204,305,290,45,199
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
301,Air Force,MWC,25,20-May,95.8,108.8,0.1875,52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,54.1,59.1,33,36.6,62.9,-13.6
,,,,3–17,282,298,301,80,342,328,40,347,343,187,204,31,344,205,302,340,324
302,St. Francis PA,NEC,22,16-Jun,94.8,107.8,0.1865,47.9,51.5,20.2,18.6,28.8,28.6,33.7,29.4,48.6,54.3,30.9,31.3,68.6,-13
,,,,5–13,293,285,302,264,231,240,174,138,199,113,125,218,311,294,50,148,320
303,Nebraska Omaha,Sum,25,20-May,93.7,106.5,0.1858,46.3,53.5,18.1,16.8,23.2,26.7,29.2,31.1,44.8,51.2,33.5,38.4,71.1,-14.3
,,,,3–11,301,265,303,305,304,125,288,295,127,235,163,318,235,174,333,51,333
304,Portland,WCC,18,15-Jun,98.4,111.9,0.1857,46.3,58.9,19,17.9,17.8,30.8,33.9,23.3,43.6,60.6,33.8,37.6,71.1,-9
,,,,0–11,242,327,304,305,346,175,224,343,276,107,13,333,346,162,321,54,259
305,Eastern Illinois,OVC,27,18-Sep,95.5,108.6,0.1856,49.3,51.9,20,18.7,28.8,29.6,25.7,31,49.7,50.3,32.4,36.3,68.9,-13.8
,,,,6–14,284,295,305,201,248,227,166,138,237,310,162,169,188,231,290,133,328
306,San Jose St.,MWC,19,16-May,97,110.4,0.1843,44.7,52.6,17.8,14.5,20,35.1,30,27.6,42.9,55.3,31.6,32.2,72.1,-10.3
,,,,3–13,266,312,306,332,276,113,339,334,342,210,76,339,324,270,83,26,279
307,Southern,SWAC,19,11-Aug,91.6,104.5,0.1816,48,47.2,22,20.7,29.8,26.7,40.5,40.8,47.8,46.2,32.3,33,70.5,-8.5
,,,,8–6,330,220,307,258,45,316,69,109,127,12,326,250,42,238,124,74,246
308,Northwestern St.,Slnd,28,18-Nov,96.9,110.5,0.181,48.9,53.5,19.5,18,26.2,31.7,30.1,35.1,47.3,55.8,34.7,32.8,71,-12.3
,,,,9–7,269,314,308,217,304,197,217,220,299,206,259,261,331,123,114,56,306
309,Jacksonville,ASun,22,13-Nov,92.7,105.8,0.1805,48.8,51.4,20,20.8,24.7,30.5,34.3,27.8,49.9,52,31.4,33.7,67.9,-10.3
,,,,5–9,315,247,309,223,229,227,65,251,267,93,81,158,256,278,163,182,274
310,Florida A&M,MEAC,20,12-Aug,89.6,102.2,0.1802,48.6,47.9,23.9,21.5,30.6,31.8,29.8,33.9,49.2,50.8,31.4,28.5,68,-8.7
,,,,7–5,339,175,310,234,66,342,49,85,304,216,236,190,215,278,5,179,248
